Label (Grouping),ZCTA5 64014!!Estimate,ZCTA5 64014!!Percent,ZCTA5 64015!!Estimate,ZCTA5 64015!!Percent,ZCTA5 64016!!Estimate,ZCTA5 64016!!Percent,ZCTA5 64029!!Estimate,ZCTA5 64029!!Percent,ZCTA5 64030!!Estimate,ZCTA5 64030!!Percent,ZCTA5 64034!!Estimate,ZCTA5 64034!!Percent,ZCTA5 64050!!Estimate,ZCTA5 64050!!Percent,ZCTA5 64052!!Estimate,ZCTA5 64052!!Percent,ZCTA5 64053!!Estimate,ZCTA5 64053!!Percent,ZCTA5 64054!!Estimate,ZCTA5 64054!!Percent,ZCTA5 64055!!Estimate,ZCTA5 64055!!Percent,ZCTA5 64056!!Estimate,ZCTA5 64056!!Percent,ZCTA5 64057!!Estimate,ZCTA5 64057!!Percent,ZCTA5 64058!!Estimate,ZCTA5 64058!!Percent,ZCTA5 64063!!Estimate,ZCTA5 64063!!Percent,ZCTA5 64064!!Estimate,ZCTA5 64064!!Percent,ZCTA5 64070!!Estimate,ZCTA5 64070!!Percent,ZCTA5 64075!!Estimate,ZCTA5 64075!!Percent,ZCTA5 64081!!Estimate,ZCTA5 64081!!Percent,ZCTA5 64082!!Estimate,ZCTA5 64082!!Percent,ZCTA5 64086!!Estimate,ZCTA5 64086!!Percent,ZCTA5 64088!!Estimate,ZCTA5 64088!!Percent,ZCTA5 64101!!Estimate,ZCTA5 64101!!Percent,ZCTA5 64102!!Estimate,ZCTA5 64102!!Percent,ZCTA5 64105!!Estimate,ZCTA5 64105!!Percent,ZCTA5 64106!!Estimate,ZCTA5 64106!!Percent,ZCTA5 64108!!Estimate,ZCTA5 64108!!Percent,ZCTA5 64109!!Estimate,ZCTA5 64109!!Percent,ZCTA5 64110!!Estimate,ZCTA5 64110!!Percent,ZCTA5 64111!!Estimate,ZCTA5 64111!!Percent,ZCTA5 64112!!Estimate,ZCTA5 64112!!Percent,ZCTA5 64113!!Estimate,ZCTA5 64113!!Percent,ZCTA5 64114!!Estimate,ZCTA5 64114!!Percent,ZCTA5 64120!!Estimate,ZCTA5 64120!!Percent,ZCTA5 64123!!Estimate,ZCTA5 64123!!Percent,ZCTA5 64124!!Estimate,ZCTA5 64124!!Percent,ZCTA5 64125!!Estimate,ZCTA5 64125!!Percent,ZCTA5 64126!!Estimate,ZCTA5 64126!!Percent,ZCTA5 64127!!Estimate,ZCTA5 64127!!Percent,ZCTA5 64128!!Estimate,ZCTA5 64128!!Percent,ZCTA5 64129!!Estimate,ZCTA5 64129!!Percent,ZCTA5 64130!!Estimate,ZCTA5 64130!!Percent,ZCTA5 64131!!Estimate,ZCTA5 64131!!Percent,ZCTA5 64132!!Estimate,ZCTA5 64132!!Percent,ZCTA5 64133!!Estimate,ZCTA5 64133!!Percent,ZCTA5 64134!!Estimate,ZCTA5 64134!!Percent,ZCTA5 64136!!Estimate,ZCTA5 64136!!Percent,ZCTA5 64137!!Estimate,ZCTA5 64137!!Percent,ZCTA5 64138!!Estimate,ZCTA5 64138!!Percent,ZCTA5 64139!!Estimate,ZCTA5 64139!!Percent,ZCTA5 64145!!Estimate,ZCTA5 64145!!Percent,ZCTA5 64146!!Estimate,ZCTA5 64146!!Percent,ZCTA5 64147!!Estimate,ZCTA5 64147!!Percent
        English only,"24,643",95.90%,"29,033",96.80%,"4,266",97.90%,"19,521",97.10%,"20,756",86.80%,"8,091",97.80%,"19,240",95.50%,"18,391",88.10%,"4,805",81.40%,"2,781",96.60%,"32,452",95.10%,"15,759",96.50%,"13,194",96.70%,"5,932",96.80%,"18,158",91.20%,"17,533",94.60%,"2,879",99.10%,"10,942",98.70%,"22,245",93.70%,"17,458",96.00%,"21,150",93.50%,"1,248",97.70%,97,85.80%,0,-,"4,981",91.10%,"8,203",81.60%,"8,306",88.30%,"8,434",87.20%,"15,372",91.70%,"15,330",91.90%,"7,645",90.30%,"10,982",95.10%,"21,715",92.60%,383,66.00%,"5,761",58.50%,"5,004",49.40%,"1,143",56.20%,"2,366",44.10%,"11,475",70.40%,"10,515",91.00%,"6,853",88.50%,"17,234",93.30%,"19,216",93.80%,"10,728",94.20%,"31,835",90.40%,"19,597",93.00%,"1,425",94.60%,"8,072",86.60%,"20,695",90.90%,"2,170",98.40%,"4,668",94.60%,"1,072",93.50%,519,95.60%
        Language other than English,"1,060",4.10%,956,3.20%,93,2.10%,576,2.90%,"3,158",13.20%,184,2.20%,916,4.50%,"2,475",11.90%,"1,098",18.60%,97,3.40%,"1,678",4.90%,569,3.50%,445,3.30%,193,3.20%,"1,763",8.80%,"1,001",5.40%,26,0.90%,139,1.30%,"1,498",6.30%,736,4.00%,"1,470",6.50%,30,2.30%,16,14.20%,0,-,485,8.90%,"1,844",18.40%,"1,100",11.70%,"1,234",12.80%,"1,395",8.30%,"1,354",8.10%,817,9.70%,565,4.90%,"1,731",7.40%,197,34.00%,"4,083",41.50%,"5,129",50.60%,891,43.80%,"2,995",55.90%,"4,828",29.60%,"1,039",9.00%,887,11.50%,"1,246",6.70%,"1,261",6.20%,665,5.80%,"3,399",9.60%,"1,468",7.00%,81,5.40%,"1,245",13.40%,"2,077",9.10%,35,1.60%,266,5.40%,75,6.50%,24,4.40%
"            Speak English less than ""very well""",288,1.10%,210,0.70%,19,0.40%,134,0.70%,"1,200",5.00%,33,0.40%,143,0.70%,"1,216",5.80%,365,6.20%,61,2.10%,559,1.60%,171,1.00%,79,0.60%,65,1.10%,353,1.80%,228,1.20%,8,0.30%,53,0.50%,445,1.90%,225,1.20%,237,1.00%,3,0.20%,0,0.00%,0,-,122,2.20%,714,7.10%,327,3.50%,511,5.30%,428,2.60%,276,1.70%,236,2.80%,106,0.90%,436,1.90%,22,3.80%,"2,048",20.80%,"2,778",27.40%,296,14.60%,"1,552",28.90%,"2,944",18.10%,602,5.20%,446,5.80%,526,2.80%,460,2.20%,162,1.40%,"1,181",3.40%,593,2.80%,53,3.50%,191,2.10%,835,3.70%,3,0.10%,17,0.30%,27,2.40%,24,4.40%
        Spanish,867,3.40%,520,1.70%,47,1.10%,336,1.70%,"2,383",10.00%,43,0.50%,631,3.10%,"2,107",10.10%,"1,010",17.10%,77,2.70%,"1,122",3.30%,515,3.20%,211,1.50%,129,2.10%,686,3.40%,408,2.20%,11,0.40%,59,0.50%,643,2.70%,323,1.80%,655,2.90%,12,0.90%,16,14.20%,0,-,140,2.60%,298,3.00%,851,9.00%,630,6.50%,729,4.30%,734,4.40%,193,2.30%,188,1.60%,673,2.90%,185,31.90%,"3,033",30.80%,"3,585",35.40%,891,43.80%,"2,743",51.20%,"4,240",26.00%,747,6.50%,597,7.70%,"1,084",5.90%,532,2.60%,527,4.60%,"2,393",6.80%,934,4.40%,65,4.30%,321,3.40%,845,3.70%,20,0.90%,92,1.90%,27,2.40%,24,4.40%
"            Speak English less than ""very well""",241,0.90%,90,0.30%,0,0.00%,113,0.60%,"1,023",4.30%,29,0.40%,102,0.50%,"1,058",5.10%,340,5.80%,61,2.10%,308,0.90%,171,1.00%,0,0.00%,55,0.90%,151,0.80%,93,0.50%,2,0.10%,36,0.30%,232,1.00%,96,0.50%,74,0.30%,0,0.00%,0,0.00%,0,-,17,0.30%,112,1.10%,257,2.70%,260,2.70%,193,1.20%,175,1.00%,0,0.00%,37,0.30%,197,0.80%,22,3.80%,"1,363",13.80%,"1,793",17.70%,296,14.60%,"1,371",25.60%,"2,531",15.50%,423,3.70%,308,4.00%,468,2.50%,247,1.20%,126,1.10%,674,1.90%,426,2.00%,37,2.50%,113,1.20%,300,1.30%,0,0.00%,1,0.00%,21,1.80%,24,4.40%
        Other Indo-European languages,60,0.20%,145,0.50%,19,0.40%,95,0.50%,238,1.00%,29,0.40%,41,0.20%,24,0.10%,0,0.00%,0,0.00%,277,0.80%,3,0.00%,126,0.90%,50,0.80%,166,0.80%,154,0.80%,4,0.10%,56,0.50%,371,1.60%,152,0.80%,601,2.70%,16,1.30%,0,0.00%,0,-,88,1.60%,323,3.20%,74,0.80%,93,1.00%,401,2.40%,168,1.00%,287,3.40%,267,2.30%,622,2.70%,0,0.00%,338,3.40%,224,2.20%,0,0.00%,0,0.00%,25,0.20%,226,2.00%,60,0.80%,0,0.00%,255,1.20%,90,0.80%,448,1.30%,51,0.20%,0,0.00%,302,3.20%,391,1.70%,0,0.00%,74,1.50%,18,1.60%,0,0.00%
"            Speak English less than ""very well""",6,0.00%,0,0.00%,19,0.40%,0,0.00%,33,0.10%,4,0.00%,0,0.00%,16,0.10%,0,0.00%,0,0.00%,133,0.40%,0,0.00%,58,0.40%,0,0.00%,0,0.00%,67,0.40%,4,0.10%,17,0.20%,148,0.60%,35,0.20%,91,0.40%,1,0.10%,0,0.00%,0,-,0,0.00%,44,0.40%,5,0.10%,24,0.20%,155,0.90%,13,0.10%,146,1.70%,24,0.20%,185,0.80%,0,0.00%,273,2.80%,124,1.20%,0,0.00%,0,0.00%,0,0.00%,159,1.40%,35,0.50%,0,0.00%,43,0.20%,14,0.10%,260,0.70%,15,0.10%,0,0.00%,15,0.20%,193,0.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
        Asian and Pacific Islander languages,133,0.50%,260,0.90%,27,0.60%,14,0.10%,309,1.30%,12,0.10%,234,1.20%,340,1.60%,38,0.60%,20,0.70%,225,0.70%,51,0.30%,108,0.80%,14,0.20%,364,1.80%,333,1.80%,11,0.40%,11,0.10%,246,1.00%,213,1.20%,171,0.80%,2,0.20%,0,0.00%,0,-,225,4.10%,592,5.90%,76,0.80%,384,4.00%,168,1.00%,218,1.30%,165,1.90%,106,0.90%,254,1.10%,12,2.10%,260,2.60%,334,3.30%,0,0.00%,96,1.80%,140,0.90%,4,0.00%,66,0.90%,40,0.20%,259,1.30%,26,0.20%,269,0.80%,113,0.50%,16,1.10%,220,2.40%,171,0.80%,12,0.50%,20,0.40%,30,2.60%,0,0.00%
"            Speak English less than ""very well""",41,0.20%,120,0.40%,0,0.00%,0,0.00%,135,0.60%,0,0.00%,41,0.20%,142,0.70%,0,0.00%,0,0.00%,118,0.30%,0,0.00%,21,0.20%,10,0.20%,187,0.90%,68,0.40%,2,0.10%,0,0.00%,21,0.10%,94,0.50%,62,0.30%,2,0.20%,0,0.00%,0,-,73,1.30%,273,2.70%,20,0.20%,219,2.30%,42,0.30%,47,0.30%,90,1.10%,41,0.40%,54,0.20%,0,0.00%,145,1.50%,310,3.10%,0,0.00%,25,0.50%,99,0.60%,0,0.00%,53,0.70%,10,0.10%,42,0.20%,13,0.10%,135,0.40%,28,0.10%,16,1.10%,21,0.20%,92,0.40%,3,0.10%,2,0.00%,6,0.50%,0,0.00%
        Other languages,0,0.00%,31,0.10%,0,0.00%,131,0.70%,228,1.00%,100,1.20%,10,0.00%,4,0.00%,50,0.80%,0,0.00%,54,0.20%,0,0.00%,0,0.00%,0,0.00%,547,2.70%,106,0.60%,0,0.00%,13,0.10%,238,1.00%,48,0.30%,43,0.20%,0,0.00%,0,0.00%,0,-,32,0.60%,631,6.30%,99,1.10%,127,1.30%,97,0.60%,234,1.40%,172,2.00%,4,0.00%,182,0.80%,0,0.00%,452,4.60%,986,9.70%,0,0.00%,156,2.90%,423,2.60%,62,0.50%,164,2.10%,122,0.70%,215,1.00%,22,0.20%,289,0.80%,370,1.80%,0,0.00%,402,4.30%,670,2.90%,3,0.10%,80,1.60%,0,0.00%,0,0.00%
"            Speak English less than ""very well""",0,0.00%,0,0.00%,0,0.00%,21,0.10%,9,0.00%,0,0.00%,0,0.00%,0,0.00%,25,0.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,0.10%,0,0.00%,0,0.00%,0,0.00%,44,0.20%,0,0.00%,10,0.00%,0,0.00%,0,0.00%,0,-,32,0.60%,285,2.80%,45,0.50%,8,0.10%,38,0.20%,41,0.20%,0,0.00%,4,0.00%,0,0.00%,0,0.00%,267,2.70%,551,5.40%,0,0.00%,156,2.90%,314,1.90%,20,0.20%,50,0.60%,48,0.30%,128,0.60%,9,0.10%,112,0.30%,124,0.60%,0,0.00%,42,0.50%,250,1.10%,0,0.00%,14,0.30%,0,0.00%,0,0.00%
ANCESTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total population,"27,964","27,964","32,011","32,011","4,628","4,628","21,330","21,330","25,808","25,808","8,713","8,713","21,280","21,280","22,235","22,235","6,383","6,383","3,100","3,100","36,162","36,162","18,098","18,098","14,282","14,282","6,686","6,686","21,232","21,232","19,783","19,783","3,039","3,039","11,780","11,780","24,987","24,987","19,261","19,261","24,030","24,030","1,325","1,325",113,113,0,0,"5,548","5,548","10,811","10,811","9,768","9,768","10,133","10,133","17,610","17,610","17,187","17,187","8,578","8,578","12,446","12,446","24,931","24,931",580,580,"10,536","10,536","11,081","11,081","2,334","2,334","5,590","5,590","17,621","17,621","12,524","12,524","8,359","8,359","19,609","19,609","22,311","22,311","12,188","12,188","37,442","37,442","23,009","23,009","1,680","1,680","10,150","10,150","24,183","24,183","2,329","2,329","5,132","5,132","1,234","1,234",581,581
        American,"1,460",5.20%,"1,142",3.60%,181,3.90%,"1,426",6.70%,736,2.90%,637,7.30%,"2,006",9.40%,872,3.90%,249,3.90%,235,7.60%,"1,936",5.40%,858,4.70%,575,4.00%,335,5.00%,688,3.20%,949,4.80%,250,8.20%,780,6.60%,"1,236",4.90%,906,4.70%,"1,622",6.70%,70,5.30%,32,28.30%,0,-,184,3.30%,494,4.60%,352,3.60%,302,3.00%,442,2.50%,268,1.60%,198,2.30%,508,4.10%,"1,036",4.20%,26,4.50%,179,1.70%,177,1.60%,52,2.20%,105,1.90%,778,4.40%,656,5.20%,255,3.10%,215,1.10%,"1,019",4.60%,256,2.10%,"1,229",3.30%,"1,535",6.70%,21,1.30%,227,2.20%,987,4.10%,26,1.10%,263,5.10%,48,3.90%,5,0.90%
        Arab,89,0.30%,8,0.00%,0,0.00%,134,0.60%,320,1.20%,51,0.60%,0,0.00%,23,0.10%,50,0.80%,0,0.00%,38,0.10%,0,0.00%,5,0.00%,23,0.30%,477,2.20%,153,0.80%,38,1.30%,2,0.00%,94,0.40%,0,0.00%,136,0.60%,0,0.00%,0,0.00%,0,-,65,1.20%,51,0.50%,28,0.30%,48,0.50%,151,0.90%,214,1.20%,205,2.40%,51,0.40%,84,0.30%,0,0.00%,391,3.70%,306,2.80%,0,0.00%,0,0.00%,8,0.00%,0,0.00%,50,0.60%,10,0.10%,18,0.10%,0,0.00%,0,0.00%,384,1.70%,0,0.00%,428,4.20%,650,2.70%,0,0.00%,80,1.60%,0,0.00%,0,0.00%
        Czech,154,0.60%,108,0.30%,12,0.30%,13,0.10%,19,0.10%,91,1.00%,142,0.70%,19,0.10%,0,0.00%,23,0.70%,130,0.40%,9,0.00%,88,0.60%,0,0.00%,48,0.20%,67,0.30%,0,0.00%,38,0.30%,150,0.60%,83,0.40%,129,0.50%,0,0.00%,0,0.00%,0,-,45,0.80%,29,0.30%,95,1.00%,30,0.30%,89,0.50%,77,0.40%,87,1.00%,41,0.30%,244,1.00%,0,0.00%,27,0.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,108,0.50%,28,0.20%,43,0.10%,26,0.10%,0,0.00%,10,0.10%,19,0.10%,0,0.00%,30,0.60%,0,0.00%,0,0.00%
        Danish,87,0.30%,125,0.40%,23,0.50%,50,0.20%,22,0.10%,13,0.10%,40,0.20%,55,0.20%,0,0.00%,7,0.20%,107,0.30%,18,0.10%,103,0.70%,10,0.10%,66,0.30%,16,0.10%,5,0.20%,8,0.10%,132,0.50%,103,0.50%,102,0.40%,0,0.00%,0,0.00%,0,-,42,0.80%,23,0.20%,21,0.20%,64,0.60%,13,0.10%,82,0.50%,51,0.60%,93,0.70%,263,1.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.00%,24,0.30%,4,0.00%,44,0.20%,0,0.00%,42,0.10%,44,0.20%,0,0.00%,7,0.10%,10,0.00%,15,0.60%,7,0.10%,0,0.00%,0,0.00%
        Dutch,398,1.40%,386,1.20%,76,1.60%,124,0.60%,150,0.60%,150,1.70%,181,0.90%,325,1.50%,53,0.80%,61,2.00%,390,1.10%,159,0.90%,202,1.40%,114,1.70%,361,1.70%,219,1.10%,44,1.40%,55,0.50%,302,1.20%,195,1.00%,222,0.90%,8,0.60%,0,0.00%,0,-,36,0.60%,74,0.70%,112,1.10%,52,0.50%,66,0.40%,101,0.60%,67,0.80%,149,1.20%,212,0.90%,0,0.00%,24,0.20%,58,0.50%,7,0.30%,15,0.30%,23,0.10%,23,0.20%,83,1.00%,7,0.00%,187,0.80%,5,0.00%,343,0.90%,83,0.40%,0,0.00%,115,1.10%,139,0.60%,107,4.60%,34,0.70%,0,0.00%,0,0.00%
        English,"3,742",13.40%,"4,096",12.80%,315,6.80%,"2,689",12.60%,"1,584",6.10%,"1,065",12.20%,"2,019",9.50%,"2,157",9.70%,323,5.10%,299,9.60%,"3,866",10.70%,"1,518",8.40%,"1,328",9.30%,546,8.20%,"2,858",13.50%,"3,596",18.20%,319,10.50%,"1,236",10.50%,"4,160",16.60%,"3,240",16.80%,"3,724",15.50%,153,11.50%,0,0.00%,0,-,488,8.80%,"1,218",11.30%,699,7.20%,732,7.20%,"1,121",6.40%,"2,124",12.40%,"1,170",13.60%,"2,330",18.70%,"3,413",13.70%,37,6.40%,316,3.00%,402,3.60%,215,9.20%,129,2.30%,384,2.20%,90,0.70%,583,7.00%,190,1.00%,"1,570",7.00%,286,2.30%,"2,735",7.30%,814,3.50%,69,4.10%,587,5.80%,"1,383",5.70%,417,17.90%,827,16.10%,204,16.50%,22,3.80%
        French (except Basque),453,1.60%,831,2.60%,86,1.90%,427,2.00%,310,1.20%,173,2.00%,344,1.60%,453,2.00%,138,2.20%,117,3.80%,763,2.10%,503,2.80%,311,2.20%,57,0.90%,562,2.60%,495,2.50%,58,1.90%,353,3.00%,591,2.40%,736,3.80%,547,2.30%,142,10.70%,0,0.00%,0,-,110,2.00%,61,0.60%,169,1.70%,160,1.60%,326,1.90%,494,2.90%,186,2.20%,321,2.60%,680,2.70%,0,0.00%,58,0.60%,12,0.10%,0,0.00%,40,0.70%,120,0.70%,29,0.20%,265,3.20%,129,0.70%,251,1.10%,23,0.20%,451,1.20%,169,0.70%,0,0.00%,190,1.90%,307,1.30%,7,0.30%,149,2.90%,59,4.80%,0,0.00%
        French Canadian,198,0.70%,31,0.10%,73,1.60%,116,0.50%,59,0.20%,32,0.40%,127,0.60%,20,0.10%,0,0.00%,37,1.20%,38,0.10%,10,0.10%,27,0.20%,0,0.00%,59,0.30%,22,0.10%,26,0.90%,26,0.20%,69,0.30%,80,0.40%,31,0.10%,0,0.00%,0,0.00%,0,-,18,0.30%,6,0.10%,0,0.00%,5,0.00%,51,0.30%,123,0.70%,10,0.10%,22,0.20%,37,0.10%,0,0.00%,0,0.00%,25,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,0.10%,0,0.00%,34,0.10%,21,0.10%,0,0.00%,30,0.30%,53,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
        German,"5,423",19.40%,"5,750",18.00%,879,19.00%,"4,678",21.90%,"2,700",10.50%,"2,244",25.80%,"3,637",17.10%,"2,770",12.50%,819,12.80%,738,23.80%,"6,948",19.20%,"2,628",14.50%,"2,801",19.60%,"1,077",16.10%,"4,475",21.10%,"3,451",17.40%,463,15.20%,"2,559",21.70%,"5,720",22.90%,"4,680",24.30%,"5,680",23.60%,445,33.60%,17,15.00%,0,-,"1,738",31.30%,"1,275",11.80%,"1,471",15.10%,"1,222",12.10%,"2,339",13.30%,"3,961",23.00%,"1,840",21.50%,"3,458",27.80%,"4,905",19.70%,80,13.80%,"1,226",11.60%,793,7.20%,99,4.20%,98,1.80%,552,3.10%,300,2.40%,677,8.10%,404,2.10%,"2,307",10.30%,440,3.60%,"4,439",11.90%,"1,400",6.10%,172,10.20%,"1,557",15.30%,"2,960",12.20%,678,29.10%,"1,398",27.20%,424,34.40%,21,3.60%
        Greek,75,0.30%,11,0.00%,0,0.00%,0,0.00%,155,0.60%,0,0.00%,8,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,62,0.30%,60,0.40%,89,1.30%,40,0.20%,79,0.40%,2,0.10%,85,0.70%,48,0.20%,8,0.00%,0,0.00%,0,0.00%,0,0.00%,0,-,15,0.30%,0,0.00%,26,0.30%,0,0.00%,31,0.20%,84,0.50%,47,0.50%,151,1.20%,105,0.40%,0,0.00%,0,0.00%,3,0.00%,12,0.50%,0,0.00%,0,0.00%,14,0.10%,10,0.10%,0,0.00%,124,0.60%,0,0.00%,20,0.10%,0,0.00%,0,0.00%,39,0.40%,158,0.70%,0,0.00%,6,0.10%,0,0.00%,0,0.00%
        Hungarian,33,0.10%,192,0.60%,5,0.10%,25,0.10%,24,0.10%,3,0.00%,26,0.10%,16,0.10%,27,0.40%,0,0.00%,27,0.10%,27,0.10%,40,0.30%,12,0.20%,0,0.00%,31,0.20%,0,0.00%,15,0.10%,48,0.20%,11,0.10%,71,0.30%,8,0.60%,0,0.00%,0,-,11,0.20%,0,0.00%,16,0.20%,13,0.10%,30,0.20%,17,0.10%,11,0.10%,32,0.30%,82,0.30%,0,0.00%,0,0.00%,7,0.10%,0,0.00%,21,0.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,28,0.10%,0,0.00%,9,0.00%,17,0.10%,0,0.00%,0,0.00%,11,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
        Irish,"3,322",11.90%,"4,467",14.00%,641,13.90%,"2,643",12.40%,"2,282",8.80%,923,10.60%,"2,970",14.00%,"2,259",10.20%,828,13.00%,338,10.90%,"5,547",15.30%,"1,905",10.50%,"1,602",11.20%,535,8.00%,"3,227",15.20%,"1,901",9.60%,355,11.70%,"1,613",13.70%,"3,780",15.10%,"2,851",14.80%,"2,691",11.20%,115,8.70%,11,9.70%,0,-,871,15.70%,607,5.60%,955,9.80%,890,8.80%,"1,618",9.20%,"3,103",18.10%,"1,244",14.50%,"2,930",23.50%,"4,598",18.40%,68,11.70%,627,6.00%,715,6.50%,129,5.50%,99,1.80%,479,2.70%,174,1.40%,424,5.10%,241,1.20%,"2,112",9.50%,382,3.10%,"2,423",6.50%,"1,153",5.00%,95,5.70%,"1,421",14.00%,"1,159",4.80%,446,19.10%,"1,043",20.30%,136,11.00%,0,0.00%
        Italian,588,2.10%,"1,337",4.20%,87,1.90%,652,3.10%,448,1.70%,438,5.00%,499,2.30%,933,4.20%,70,1.10%,100,3.20%,"1,103",3.10%,533,2.90%,576,4.00%,114,1.70%,748,3.50%,"1,247",6.30%,32,1.10%,403,3.40%,662,2.60%,517,2.70%,690,2.90%,12,0.90%,0,0.00%,0,-,372,6.70%,602,5.60%,419,4.30%,265,2.60%,477,2.70%,917,5.30%,316,3.70%,969,7.80%,"1,115",4.50%,0,0.00%,182,1.70%,214,1.90%,8,0.30%,124,2.20%,123,0.70%,116,0.90%,434,5.20%,73,0.40%,369,1.70%,91,0.70%,451,1.20%,251,1.10%,100,6.00%,246,2.40%,298,1.20%,228,9.80%,308,6.00%,19,1.50%,0,0.00%
        Lithuanian,21,0.10%,9,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,38,0.20%,0,0.00%,0,0.00%,0,0.00%,9,0.00%,10,0.10%,0,0.00%,0,0.00%,73,0.40%,1,0.00%,72,0.60%,43,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,-,29,0.50%,15,0.10%,5,0.10%,0,0.00%,10,0.10%,24,0.10%,12,0.10%,70,0.60%,49,0.20%,0,0.00%,0,0.00%,21,0.20%,9,0.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,0.10%,0,0.00%,14,0.00%,9,0.00%,0,0.00%,20,0.20%,21,0.10%,0,0.00%,9,0.20%,0,0.00%,0,0.00%
        Norwegian,519,1.90%,324,1.00%,80,1.70%,339,1.60%,150,0.60%,166,1.90%,193,0.90%,167,0.80%,15,0.20%,37,1.20%,257,0.70%,193,1.10%,169,1.20%,81,1.20%,227,1.10%,245,1.20%,33,1.10%,88,0.70%,189,0.80%,184,1.00%,170,0.70%,0,0.00%,0,0.00%,0,-,46,0.80%,180,1.70%,77,0.80%,51,0.50%,110,0.60%,184,1.10%,96,1.10%,120,1.00%,287,1.20%,0,0.00%,22,0.20%,0,0.00%,0,0.00%,0,0.00%,91,0.50%,0,0.00%,27,0.30%,0,0.00%,129,0.60%,22,0.20%,235,0.60%,242,1.10%,0,0.00%,507,5.00%,71,0.30%,8,0.30%,7,0.10%,25,2.00%,0,0.00%
        Polish,766,2.70%,278,0.90%,25,0.50%,364,1.70%,298,1.20%,46,0.50%,198,0.90%,119,0.50%,35,0.50%,73,2.40%,438,1.20%,222,1.20%,61,0.40%,79,1.20%,489,2.30%,220,1.10%,69,2.30%,99,0.80%,284,1.10%,247,1.30%,346,1.40%,0,0.00%,0,0.00%,0,-,250,4.50%,122,1.10%,126,1.30%,120,1.20%,340,1.90%,315,1.80%,312,3.60%,417,3.40%,716,2.90%,0,0.00%,213,2.00%,70,0.60%,0,0.00%,30,0.50%,0,0.00%,13,0.10%,54,0.60%,48,0.20%,171,0.80%,61,0.50%,255,0.70%,152,0.70%,17,1.00%,211,2.10%,179,0.70%,0,0.00%,134,2.60%,0,0.00%,0,0.00%
        Portuguese,24,0.10%,11,0.00%,5,0.10%,0,0.00%,32,0.10%,0,0.00%,23,0.10%,20,0.10%,12,0.20%,16,0.50%,251,0.70%,29,0.20%,17,0.10%,0,0.00%,0,0.00%,11,0.10%,7,0.20%,14,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,-,0,0.00%,0,0.00%,14,0.10%,10,0.10%,17,0.10%,20,0.10%,0,0.00%,6,0.00%,38,0.20%,0,0.00%,14,0.10%,0,0.00%,0,0.00%,0,0.00%,10,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,0.40%,0,0.00%,0,0.00%
        Russian,0,0.00%,123,0.40%,5,0.10%,26,0.10%,57,0.20%,2,0.00%,80,0.40%,0,0.00%,0,0.00%,0,0.00%,146,0.40%,18,0.10%,20,0.10%,0,0.00%,52,0.20%,146,0.70%,3,0.10%,0,0.00%,76,0.30%,57,0.30%,38,0.20%,0,0.00%,0,0.00%,0,-,10,0.20%,12,0.10%,75,0.80%,52,0.50%,120,0.70%,288,1.70%,79,0.90%,268,2.20%,184,0.70%,0,0.00%,12,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,37,0.20%,100,0.80%,86,0.20%,22,0.10%,0,0.00%,3,0.00%,47,0.20%,0,0.00%,10,0.20%,0,0.00%,0,0.00%
